cluster_rank	cluster_X	cluster_Y	best_adjusted_pvalue
29	Streptococcus 88;Streptococcus 5159;Streptococcus 6498	SLC15A1_6564	0.016086518609396954
30	Acinetobacter 186	CCL20_6364	0.016436202120247788
31	Flavobacterium 6250	ABCA8_10351	0.016436202120247788
32	Streptococcus 9;Streptococcus 6859;Actinomyces 100;Streptococcus 88;Streptococcus 5159;Streptococcus 6498	G6PC_2538	0.016575996668270587
33	Streptococcus 2401;Streptococcus 6727;Streptococcus 6732	SLC15A1_6564	0.01675184657179309
34	Streptococcus 88;Streptococcus 5159;Streptococcus 6498	MAOB_4129	0.017272063782684168
35	Streptococcus 88	SOAT2_8435	0.018003605498953107
36	Streptococcus 88	SLC5A4_6527	0.01865322567446515
37	Enterococcaceae 4623	MFAP5_8076	0.019729809050329783
38	Streptococcus 5159	SLC6A19_340024	0.0198035259650163
39	Streptococcus 88;Streptococcus 5159;Streptococcus 6498	CUBN_8029	0.0198035259650163
40	Flavobacterium 6250	WDR49_151790	0.0198035259650163
41	Ruminococcus 6059	GSTM1_2944	0.0198035259650163
42	Lactobacillales 4645	SLC13A1_6561	0.02102715943580502
43	Streptococcus 88	MT1M_4499;MT1H_4496	0.02170099521442269
44	Streptococcus 88	SULT2A1_6822;ARG2_384	0.02236803321906528
45	Escherichia 3402;Escherichia 2304;Escherichia 5124;Escherichia 5354;Escherichia 5631	CXCL11_6373;CXCL10_3627	0.024337057788149152
46	Streptococcus 6727	G6PC_2538	0.024337057788149152
47	Streptococcus 88	APOA1_335	0.02488713519762731
48	Streptococcus 88;Streptococcus 5159;Streptococcus 6498	TMIGD1_388364	0.02488713519762731
49	Streptococcus 2401	G6PC_2538	0.02488713519762731
50	Lactobacillales 4645	FMO1_2326	0.02488713519762731
51	Streptococcus 88;Streptococcus 5159;Streptococcus 6498	SLC5A12_159963	0.02488713519762731
52	Streptococcus 6732	MAOB_4129	0.02488713519762731
53	Streptococcus 6727	SUSD2_56241	0.02488713519762731
54	Bacteroides 6687;Lachnospiraceae 5130	CCL20_6364	0.02488713519762731
55	Roseburia 6476	NA_84663	0.027072054225221246
56	Lactobacillales 4645	SUSD2_56241	0.027072054225221246
57	Clostridiales 983	KDM5D_8284	0.027945452195569716
58	Lactobacillales 146;Lactobacillales 4645	SLC2A2_6514	0.027945452195569716
59	Streptococcus 6732	SLC5A4_6527	0.027945452195569716
60	Streptococcus 2401	SUSD2_56241	0.027945452195569716
61	Roseburia 6476	NCRNA00185_55410	0.028471752745423008
62	Unclassified	PLB1_151056	0.028471752745423008
63	Lactobacillales 4645	DPEP1_1800	0.028669779095996842
64	Streptococcus 6727;Streptococcus 6732	CUBN_8029	0.02949562156972358
65	Lactobacillales 4645	TREH_11181	0.02949562156972358
66	Blautia 3525	CCL20_6364	0.02949562156972358
67	Streptococcus 88	SLC6A19_340024	0.03027428382864592
68	Bacteroides 3;Bacteroides 1520	GRIA4_2893	0.03086663595132173
69	Escherichia 5354;Escherichia 5631	NOS2_4843	0.03086663595132173
70	Lactobacillales 4645	G6PC_2538	0.03086663595132173
71	Streptococcus 88	FMO1_2326	0.03086663595132173
72	Streptococcus 2401	AGMO_392636	0.03238275846602627
73	Streptococcus 2401	NAALADL1_10004	0.03350157853103161
74	Enterococcus 5747	MFAP5_8076	0.03353155919842624
75	Escherichia 3402;Escherichia 2304;Escherichia 5124;Escherichia 5354;Escherichia 5631	CASP5_838	0.03353155919842624
76	Lactobacillales 4645	NTS_4922	0.03353155919842624
77	Streptococcus 88	SLC2A2_6514	0.03353155919842624
78	Lactobacillales 4645	MAOB_4129	0.03353155919842624
79	Lachnospiraceae 5130	WDR49_151790	0.03353155919842624
80	Bifidobacterium 3685	RBP2_5948	0.03388577758287667
81	Unclassified	MFAP5_8076	0.03388577758287667
82	Streptococcus 2401	CCL20_6364	0.03388577758287667
83	Unclassified	CCL20_6364	0.03388577758287667
84	Streptococcus 2401	UGT2A3_79799	0.03388577758287667
85	Lactobacillales 4645	SLC6A19_340024	0.03388577758287667
86	Lactobacillales 4645	CUBN_8029	0.03388577758287667
87	Faecalibacterium 19;Faecalibacterium 5670	GSTM1_2944	0.03388577758287667
88	Lactobacillales 4645	APOA1_335	0.03393138544119251
89	Unclassified	MAOB_4129	0.03417921204867229
90	Streptococcus 2401	MFAP5_8076	0.03463211840639357
91	Escherichia 4834	ABCC2_1244	0.0347695479108609
92	Streptococcus 2549	IGLV7-46_28775	0.037227093122738975
93	Roseburia 6476	RBMY2EP_159125	0.037227093122738975
94	Escherichia 5354	ABCC2_1244	0.037227093122738975
95	Streptococcus 88	UGT2A3_79799	0.037227093122738975
96	Unclassified	SLC5A9_200010	0.037227093122738975
97	Lactobacillales 4645	MS4A10_341116	0.037227093122738975
98	Streptococcus 6859	GUCA2B_2981	0.037227093122738975
99	Streptococcus 2401	TMEM252_169693	0.037227093122738975
100	Streptococcus 6859	SOAT2_8435	0.037227093122738975
101	Streptococcus 5159	NAALADL1_10004	0.037227093122738975
102	Lachnospiraceae 39	ASAH2_56624	0.037227093122738975
103	Streptococcus 6859	CPO_130749	0.03727338632881293
104	Streptococcus 6732	VTRNA1-1_56664	0.03748830553798642
105	Lactobacillales 4645	SLC5A12_159963	0.03748830553798642
106	Clostridiaceae 3421	RPS4Y1_6192	0.037590405061859206
107	Ruminococcus 5662	SLC44A5_204962	0.037590405061859206
108	Bacteroides 6779	RPS4Y1_6192	0.037590405061859206
109	Enterobacteriaceae 6537	TCN1_6947	0.037590405061859206
110	Escherichia 5631	CXCL9_4283	0.037590405061859206
111	Lactobacillales 4645	CA1_759	0.037590405061859206
112	Veillonellaceae 252	PIK3C2G_5288	0.037590405061859206
113	Streptococcus 88	NTS_4922	0.037590405061859206
114	Streptococcus 6498	NTS_4922	0.037590405061859206
115	Streptococcus 6498	APOA1_335	0.037590405061859206
116	Lactobacillales 4645	AGMO_392636	0.037590405061859206
117	Streptococcus 88	AGMO_392636	0.037590405061859206
118	Streptococcus 88	AGXT2_64902	0.037590405061859206
119	Streptococcus 5159	GUCA2B_2981	0.037590405061859206
120	Streptococcus 2401	AADAC_13	0.037590405061859206
121	Streptococcus 6727	LRAT_9227	0.037590405061859206
122	Streptococcus 6732	LRAT_9227	0.037590405061859206
123	Lactobacillales 4645	LRAT_9227	0.037590405061859206
124	Lactobacillales 4645	ASPA_443	0.037590405061859206
125	Streptococcus 6727	DPEP1_1800	0.037590405061859206
126	Streptococcus 88	SLC23A1_9963	0.037590405061859206
127	Streptococcus 88	DAB1_1600	0.037590405061859206
128	Blautia 4435;Blautia 2720	CCL20_6364	0.037590405061859206
129	Faecalibacterium 19	ASAH2_56624	0.037590405061859206
130	Clostridium 6002	GPR15_2838	0.037590405061859206
131	Streptococcus 6498	TMEM252_169693	0.03766654332726388
132	Streptococcus 2401	APOA1_335	0.03795143107399618
133	Streptococcus 6498	SLC5A4_6527	0.03804811533084914
134	Lactobacillales 4645	UGT2A3_79799	0.038655000758974385
135	Streptococcus 6732	CCL20_6364	0.038657051629738585
136	Blautia 1702	ZG16_653808	0.038681064187291635
137	Streptococcus 88	MMP12_4321	0.038681064187291635
138	Flavobacterium 6250	PLB1_151056	0.038681064187291635
139	Lactobacillales 4645	CPO_130749	0.038681064187291635
140	Streptococcus 6498	AADAC_13	0.038681064187291635
141	Lactobacillales 4645	SLC15A1_6564	0.038681064187291635
142	Streptococcus 6859	LRAT_9227	0.038681064187291635
143	Streptococcus 88	XPNPEP2_7512	0.03878261446644582
144	Streptococcus 5159	SLC23A1_9963	0.039440512481542234
145	Clostridiales 8	KDM5D_8284	0.03974754607652374
146	Streptococcus 6732	MFAP5_8076	0.0400208291739502
147	Lachnospiraceae 5130	IGLV7-46_28775	0.0400208291739502
148	Streptococcus 88	AADAC_13	0.0400208291739502
149	Streptococcus 88	SLC23A3_151295	0.0400208291739502
150	Clostridiales 5790	CLDN8_9073	0.04027413783306102
151	Bacteroides 4826	MFAP5_8076	0.04027413783306102
152	Blautia 50	MFAP5_8076	0.04027413783306102
153	Gemella 80	LRAT_9227	0.04027413783306102
154	Lactobacillales 4645	SLC5A4_6527	0.04027413783306102
155	Lactobacillales 4645	SOAT2_8435	0.04027413783306102
156	Streptococcus 6727	ASPA_443	0.04027413783306102
157	Streptococcus 6732	SLC5A12_159963	0.04027413783306102
158	Streptococcus 88	ASPA_443	0.04027413783306102
159	Lactobacillales 4645	SLC23A1_9963	0.04027413783306102
160	Lactobacillales 4645	SLC5A11_115584	0.04027413783306102
161	Faecalibacterium 6174	GSTM1_2944	0.04027413783306102
162	Escherichia 2304	CXCL9_4283	0.04060800796136383
163	Unclassified	SUSD2_56241	0.041385423647680115
164	Streptococcus 88	CEACAM7_1087	0.04149523479674122
165	Streptococcus 88	MME_4311	0.04149523479674122
166	Clostridiales 983	NA_84663	0.042817096697623847
167	Enterococcus 5747	MT1M_4499	0.042817096697623847
168	Streptococcus 2401	CEACAM7_1087	0.043107156734634354
169	Streptococcus 2401	MGAM_8972	0.04342783657882132
170	Streptococcus 6727	MAOB_4129	0.04381605309918489
171	Streptococcus 88	GUCA2B_2981	0.04421442585125808
172	Lactobacillales 4645	SLC23A3_151295	0.04426465117832766
173	Flavobacterium 6250	SLC2A2_6514	0.04435736724171643
174	Streptococcus 6732	SLC5A9_200010	0.0446656513988708
175	Escherichia 247	TCN1_6947	0.04476394755073295
176	Clostridiales 983	NCRNA00185_55410	0.044966806342583834
177	Escherichia 5124	IGLV7-46_28775	0.045712522705336635
178	Unclassified	CUBN_8029	0.045712522705336635
179	Escherichia 5631	CLCA4_22802	0.04646439481049809
180	Escherichia 4834	PI3_5266	0.04646439481049809
181	Bifidobacterium 3685	ZG16_653808	0.04690007975591988
182	Streptococcus 88	ENPP3_5169	0.04704311027710096
183	Streptococcus 6859	TMIGD1_388364	0.04734970405540436
184	Streptococcus 6727	XPNPEP2_7512	0.04734970405540436
185	Streptococcus 88	NAALADL1_10004	0.04734970405540436
186	Bacteroides 6305	SNORA36A_677817	0.047827201946495514
187	Streptococcus 88	NAT8B_51471	0.047827201946495514
188	Anaerococcus 224	MT1H_4496	0.047827201946495514
189	Streptococcus 6727	MMP12_4321	0.048738535068598085
190	Streptococcus 88	SLC5A9_200010	0.048738535068598085
191	Lachnospiraceae 5130	CXCL11_6373	0.048738535068598085
192	Lachnospiraceae 488	TMPRSS15_5651	0.04883933882501705
